dataX,dataY,dataZ,bmus
   3.3969,   0.54717,   -0.35187, 53
  0.51938,   -1.1914,    0.54669, 56
    2.932,   0.35238,   -0.42369, 62
   2.3197,  -0.24555,   -0.34992, 62
   2.9181,   0.78038,    0.42174, 64
   1.6619,   0.24204,    0.24282, 35
   1.8023,  -0.21615,  -0.037695,  4
   2.1654,   0.21528,   0.033148,  8
   1.3446,  -0.77642,    0.28287,  2
   1.5853,  -0.53931,    0.63057,  2
   1.9047,   0.11882,    0.48014, 24
   1.9492,   0.04073,   0.042729,  6
   3.4888,    1.1715,    0.12932, 53
   3.7947,   0.25327,   -0.51697, 53
   1.2983,  -0.76101,   -0.34489, 49
   2.4282,   0.37678,    0.21865, 64
   1.1981,  -0.60558,    0.51264,  2
   3.4993,   0.45677,   -0.57691, 62
   1.3877,  -0.20403,  -0.063511, 31
   2.2759,   0.33339,    0.28468, 64
   2.6142,   0.55837,   -0.20842, 62
   1.2576,  -0.17914,   0.046978, 22
   1.2907,  -0.11643,    0.23161, 22
   2.1229,  -0.21085,    0.15352, 24
   2.3876,   0.46252,   -0.45202, 62
    2.841,   0.37274,   -0.50103, 62
   3.2323,    1.3705,   -0.11845, 53
   2.1587,  -0.21833,    0.20842, 24
   1.4431,   -0.1438,   -0.15408, 40
   1.7796,  -0.50146,   -0.17581,  4
   3.0765,   0.68576,   -0.33642, 53
    2.145,   0.13891,    0.73418, 55
   1.9049,  0.048048,    0.16047, 42
   1.1689,   -0.1645,    0.28246,  2
   2.1077,   0.37148,   0.027438,  8
   2.3143,   0.18261,    0.32286, 44
   1.9225,   0.40927,    0.11549, 42
   1.4141,  -0.57493,     0.2964,  2
   2.5633,   0.27597,    0.29125, 64
   2.4194,    0.3035,     0.5043, 64
    1.944,   0.18742,     0.1793, 42
   1.5257,  -0.37502,   -0.12064,  4
    1.764,  0.078519,    0.13078, 35
   1.9016,   0.11588,    0.72287, 55
   1.3897,  -0.28289,    0.36232,  2
