dataX,dataY,dataZ,bmus
  -2.8403,  -0.22058,   0.090061,  7
  -2.5427,   0.58628,  -0.011175,  5
  -2.7039,   0.11501,  -0.082696,  6
   1.2848,   0.68544,   -0.40613, 63
  0.93241,    0.3192,   -0.01713, 63
   1.4641,   0.50419,   -0.33826, 56
  0.18097,   -0.8256,   -0.17708, 26
   1.0871,   0.07539,   -0.30654, 40
  0.64044,  -0.41732,   0.041189, 30
   1.0952,   0.28389,    0.17002, 64
 -0.75147,   -1.0011,   0.015672, 20
   1.0433,   0.22896,   -0.41481, 63
 -0.01019,  -0.72057,    0.28344, 26
 -0.51109,   -1.2625,   -0.26649, 20
   0.5111,  -0.10228,    0.13233, 29
  0.26234,  -0.54789,   -0.69194, 27
  0.98404,  -0.12436,  -0.062157, 34
 -0.17486,  -0.25182,   0.093659, 21
  0.92757,   0.46824,   -0.31323, 63
  0.65959,  -0.35198,    0.32838, 30
  0.23454,  -0.33192,   -0.27028, 27
  0.94236,  -0.54182,   -0.49735, 33
 0.043246,  -0.58149,   -0.23296, 26
   1.1162, -0.084214,    0.45984, 37
  0.35679, -0.066824,   -0.22747, 28
   1.2965,  -0.32756,   -0.34751, 39
   0.9205,  -0.18239,   -0.23161, 34
  0.71401,   0.15038,   -0.32037, 34
  0.89964,   0.32961,   -0.31477, 63
    1.331,   0.24467,   -0.52124, 40
   1.5574,   0.26739,   -0.16464, 56
  0.81246,  -0.16233,   0.036344, 35
 -0.30733,  -0.36509,   -0.31534, 21
-0.070343,  -0.70254,   -0.24176, 26
 -0.19188,  -0.67749,   -0.30392, 20
  0.13499,  -0.31171,   -0.17497, 27
   1.3787,  -0.42121,    0.01548, 38
  0.58727,  -0.48328,    0.44458, 30
  0.80721,   0.19505,    0.38946, 35
   1.2204,   0.40804,   -0.23657, 63
  0.81287,  -0.37068,   -0.61287, 33
   0.2452,  -0.26673,    0.18956, 30
  0.16451,  -0.67966,  -0.057799, 26
  0.46303,  -0.66953,  -0.024054, 25
  0.89016, -0.033812,  -0.009768, 34
  0.22888,  -0.40226,   -0.22736, 27
 -0.70708,   -1.0084,   -0.10207, 20
  0.35553,  -0.50322,   0.017889, 25
  0.33113,  -0.21118,   0.083809, 30
  0.37524,  -0.29162,   0.079073, 30
  0.64169,  0.019071,   -0.20417, 34
 -0.90846,  -0.75157, -0.0077366, 19
  0.29781,  -0.34702,   0.012179, 28
   2.5317, -0.011842,    0.75846, 60
   1.4141,  -0.57493,     0.2964, 37
   2.6165,   0.34194,   -0.11214, 53
   1.9708,  -0.18113,    0.10654, 50
   2.3498, -0.041883,    0.28411, 54
   3.3969,   0.54717,   -0.35187, 53
  0.51938,   -1.1914,    0.54669, 31
    2.932,   0.35238,   -0.42369, 52
   2.3197,  -0.24555,   -0.34992, 52
   2.9181,   0.78038,    0.42174, 59
   1.6619,   0.24204,    0.24282, 55
   1.8023,  -0.21615,  -0.037695, 44
   2.1654,   0.21528,   0.033148, 58
   1.3446,  -0.77642,    0.28287, 37
   1.5853,  -0.53931,    0.63057, 37
   1.9047,   0.11882,    0.48014, 49
   1.9492,   0.04073,   0.042729, 51
   3.4888,    1.1715,    0.12932, 53
   3.7947,   0.25327,   -0.51697, 53
   1.2983,  -0.76101,   -0.34489, 39
   2.4282,   0.37678,    0.21865, 59
   1.1981,  -0.60558,    0.51264, 37
   3.4993,   0.45677,   -0.57691, 52
   1.3877,  -0.20403,  -0.063511, 41
   2.2759,   0.33339,    0.28468, 59
   2.6142,   0.55837,   -0.20842, 52
   1.2576,  -0.17914,   0.046978, 42
   1.2907,  -0.11643,    0.23161, 42
   2.1229,  -0.21085,    0.15352, 49
   2.3876,   0.46252,   -0.45202, 52
    2.841,   0.37274,   -0.50103, 52
   3.2323,    1.3705,   -0.11845, 53
   2.1587,  -0.21833,    0.20842, 49
   1.4431,   -0.1438,   -0.15408, 40
   1.7796,  -0.50146,   -0.17581, 44
   3.0765,   0.68576,   -0.33642, 53
    2.145,   0.13891,    0.73418, 60
   1.9049,  0.048048,    0.16047, 47
   1.1689,   -0.1645,    0.28246, 37
   2.1077,   0.37148,   0.027438, 58
   2.3143,   0.18261,    0.32286, 54
   1.9225,   0.40927,    0.11549, 47
   1.4141,  -0.57493,     0.2964, 37
   2.5633,   0.27597,    0.29125, 59
   2.4194,    0.3035,     0.5043, 59
    1.944,   0.18742,     0.1793, 47
   1.5257,  -0.37502,   -0.12064, 44
    1.764,  0.078519,    0.13078, 55
   1.9016,   0.11588,    0.72287, 60
   1.3897,  -0.28289,    0.36232, 37
